mlabel,value,chindex,chlabel,bini,binlabel,ERPset
mean_amplitude,3.153,1,O2,1,Related_Low,s07_afxfrq_dif
mean_amplitude,2.649,2,O1,1,Related_Low,s07_afxfrq_dif
mean_amplitude,2.721,3,OZ,1,Related_Low,s07_afxfrq_dif
mean_amplitude,1.520,4,PZ,1,Related_Low,s07_afxfrq_dif
mean_amplitude,1.465,5,P4,1,Related_Low,s07_afxfrq_dif
mean_amplitude,1.011,6,CP4,1,Related_Low,s07_afxfrq_dif
mean_amplitude,1.114,7,P8,1,Related_Low,s07_afxfrq_dif
mean_amplitude,0.926,8,C4,1,Related_Low,s07_afxfrq_dif
mean_amplitude,0.189,9,TP8,1,Related_Low,s07_afxfrq_dif
mean_amplitude,-0.358,10,T8,1,Related_Low,s07_afxfrq_dif
mean_amplitude,1.799,11,P7,1,Related_Low,s07_afxfrq_dif
mean_amplitude,2.246,12,P3,1,Related_Low,s07_afxfrq_dif
mean_amplitude,2.027,13,CP3,1,Related_Low,s07_afxfrq_dif
mean_amplitude,1.783,14,CPZ,1,Related_Low,s07_afxfrq_dif
mean_amplitude,1.734,15,CZ,1,Related_Low,s07_afxfrq_dif
mean_amplitude,0.721,16,FC4,1,Related_Low,s07_afxfrq_dif
mean_amplitude,0.703,17,FT8,1,Related_Low,s07_afxfrq_dif
mean_amplitude,1.839,18,TP7,1,Related_Low,s07_afxfrq_dif
mean_amplitude,1.936,19,C3,1,Related_Low,s07_afxfrq_dif
mean_amplitude,1.179,20,FCZ,1,Related_Low,s07_afxfrq_dif
mean_amplitude,0.827,21,FZ,1,Related_Low,s07_afxfrq_dif
mean_amplitude,0.380,22,F4,1,Related_Low,s07_afxfrq_dif
mean_amplitude,-0.277,23,F8,1,Related_Low,s07_afxfrq_dif
mean_amplitude,1.726,24,T7,1,Related_Low,s07_afxfrq_dif
mean_amplitude,1.743,25,FT7,1,Related_Low,s07_afxfrq_dif
mean_amplitude,1.686,26,FC3,1,Related_Low,s07_afxfrq_dif
mean_amplitude,1.091,27,F3,1,Related_Low,s07_afxfrq_dif
mean_amplitude,-0.329,28,FP2,1,Related_Low,s07_afxfrq_dif
mean_amplitude,1.302,29,F7,1,Related_Low,s07_afxfrq_dif
mean_amplitude,0.267,30,FP1,1,Related_Low,s07_afxfrq_dif
mean_amplitude,2.235,1,O2,2,Related_High,s07_afxfrq_dif
mean_amplitude,1.729,2,O1,2,Related_High,s07_afxfrq_dif
mean_amplitude,1.776,3,OZ,2,Related_High,s07_afxfrq_dif
mean_amplitude,2.926,4,PZ,2,Related_High,s07_afxfrq_dif
mean_amplitude,2.295,5,P4,2,Related_High,s07_afxfrq_dif
mean_amplitude,2.529,6,CP4,2,Related_High,s07_afxfrq_dif
mean_amplitude,1.693,7,P8,2,Related_High,s07_afxfrq_dif
mean_amplitude,2.417,8,C4,2,Related_High,s07_afxfrq_dif
mean_amplitude,1.293,9,TP8,2,Related_High,s07_afxfrq_dif
mean_amplitude,1.436,10,T8,2,Related_High,s07_afxfrq_dif
mean_amplitude,0.747,11,P7,2,Related_High,s07_afxfrq_dif
mean_amplitude,2.112,12,P3,2,Related_High,s07_afxfrq_dif
mean_amplitude,2.159,13,CP3,2,Related_High,s07_afxfrq_dif
mean_amplitude,2.922,14,CPZ,2,Related_High,s07_afxfrq_dif
mean_amplitude,3.210,15,CZ,2,Related_High,s07_afxfrq_dif
mean_amplitude,2.700,16,FC4,2,Related_High,s07_afxfrq_dif
mean_amplitude,2.001,17,FT8,2,Related_High,s07_afxfrq_dif
mean_amplitude,0.315,18,TP7,2,Related_High,s07_afxfrq_dif
mean_amplitude,2.092,19,C3,2,Related_High,s07_afxfrq_dif
mean_amplitude,3.356,20,FCZ,2,Related_High,s07_afxfrq_dif
mean_amplitude,3.115,21,FZ,2,Related_High,s07_afxfrq_dif
mean_amplitude,2.677,22,F4,2,Related_High,s07_afxfrq_dif
mean_amplitude,1.644,23,F8,2,Related_High,s07_afxfrq_dif
mean_amplitude,0.589,24,T7,2,Related_High,s07_afxfrq_dif
mean_amplitude,0.863,25,FT7,2,Related_High,s07_afxfrq_dif
mean_amplitude,2.513,26,FC3,2,Related_High,s07_afxfrq_dif
mean_amplitude,2.111,27,F3,2,Related_High,s07_afxfrq_dif
mean_amplitude,1.581,28,FP2,2,Related_High,s07_afxfrq_dif
mean_amplitude,1.556,29,F7,2,Related_High,s07_afxfrq_dif
mean_amplitude,1.787,30,FP1,2,Related_High,s07_afxfrq_dif
mean_amplitude,0.925,1,O2,3,Unrelated_Low,s07_afxfrq_dif
