mlabel,value,chindex,chlabel,bini,binlabel,ERPset
mean_amplitude,6.851,1,O2,1,Related_Low,s07_medsplt_dif
mean_amplitude,5.635,2,O1,1,Related_Low,s07_medsplt_dif
mean_amplitude,6.798,3,OZ,1,Related_Low,s07_medsplt_dif
mean_amplitude,2.180,4,PZ,1,Related_Low,s07_medsplt_dif
mean_amplitude,3.080,5,P4,1,Related_Low,s07_medsplt_dif
mean_amplitude,0.602,6,CP4,1,Related_Low,s07_medsplt_dif
mean_amplitude,2.716,7,P8,1,Related_Low,s07_medsplt_dif
mean_amplitude,-1.059,8,C4,1,Related_Low,s07_medsplt_dif
mean_amplitude,0.356,9,TP8,1,Related_Low,s07_medsplt_dif
mean_amplitude,-0.656,10,T8,1,Related_Low,s07_medsplt_dif
mean_amplitude,1.779,11,P7,1,Related_Low,s07_medsplt_dif
mean_amplitude,2.596,12,P3,1,Related_Low,s07_medsplt_dif
mean_amplitude,0.720,13,CP3,1,Related_Low,s07_medsplt_dif
mean_amplitude,1.196,14,CPZ,1,Related_Low,s07_medsplt_dif
mean_amplitude,-0.439,15,CZ,1,Related_Low,s07_medsplt_dif
mean_amplitude,-2.169,16,FC4,1,Related_Low,s07_medsplt_dif
mean_amplitude,-1.383,17,FT8,1,Related_Low,s07_medsplt_dif
mean_amplitude,0.783,18,TP7,1,Related_Low,s07_medsplt_dif
mean_amplitude,-0.580,19,C3,1,Related_Low,s07_medsplt_dif
mean_amplitude,-1.999,20,FCZ,1,Related_Low,s07_medsplt_dif
mean_amplitude,-2.435,21,FZ,1,Related_Low,s07_medsplt_dif
mean_amplitude,-2.559,22,F4,1,Related_Low,s07_medsplt_dif
mean_amplitude,-2.962,23,F8,1,Related_Low,s07_medsplt_dif
mean_amplitude,-0.011,24,T7,1,Related_Low,s07_medsplt_dif
mean_amplitude,-0.991,25,FT7,1,Related_Low,s07_medsplt_dif
mean_amplitude,-1.696,26,FC3,1,Related_Low,s07_medsplt_dif
mean_amplitude,-2.148,27,F3,1,Related_Low,s07_medsplt_dif
mean_amplitude,-2.691,28,FP2,1,Related_Low,s07_medsplt_dif
mean_amplitude,-1.881,29,F7,1,Related_Low,s07_medsplt_dif
mean_amplitude,-3.681,30,FP1,1,Related_Low,s07_medsplt_dif
mean_amplitude,6.490,1,O2,2,Related_High,s07_medsplt_dif
mean_amplitude,5.474,2,O1,2,Related_High,s07_medsplt_dif
mean_amplitude,6.448,3,OZ,2,Related_High,s07_medsplt_dif
mean_amplitude,2.109,4,PZ,2,Related_High,s07_medsplt_dif
mean_amplitude,1.539,5,P4,2,Related_High,s07_medsplt_dif
mean_amplitude,0.265,6,CP4,2,Related_High,s07_medsplt_dif
mean_amplitude,2.183,7,P8,2,Related_High,s07_medsplt_dif
mean_amplitude,-1.324,8,C4,2,Related_High,s07_medsplt_dif
mean_amplitude,0.281,9,TP8,2,Related_High,s07_medsplt_dif
mean_amplitude,-1.161,10,T8,2,Related_High,s07_medsplt_dif
mean_amplitude,1.881,11,P7,2,Related_High,s07_medsplt_dif
mean_amplitude,2.406,12,P3,2,Related_High,s07_medsplt_dif
mean_amplitude,0.500,13,CP3,2,Related_High,s07_medsplt_dif
mean_amplitude,0.866,14,CPZ,2,Related_High,s07_medsplt_dif
mean_amplitude,-0.605,15,CZ,2,Related_High,s07_medsplt_dif
mean_amplitude,-2.164,16,FC4,2,Related_High,s07_medsplt_dif
mean_amplitude,0.277,17,FT8,2,Related_High,s07_medsplt_dif
mean_amplitude,0.632,18,TP7,2,Related_High,s07_medsplt_dif
mean_amplitude,-0.726,19,C3,2,Related_High,s07_medsplt_dif
mean_amplitude,-1.541,20,FCZ,2,Related_High,s07_medsplt_dif
mean_amplitude,-1.828,21,FZ,2,Related_High,s07_medsplt_dif
mean_amplitude,-2.265,22,F4,2,Related_High,s07_medsplt_dif
mean_amplitude,-1.960,23,F8,2,Related_High,s07_medsplt_dif
mean_amplitude,0.201,24,T7,2,Related_High,s07_medsplt_dif
mean_amplitude,-1.169,25,FT7,2,Related_High,s07_medsplt_dif
mean_amplitude,-1.649,26,FC3,2,Related_High,s07_medsplt_dif
mean_amplitude,-2.443,27,F3,2,Related_High,s07_medsplt_dif
mean_amplitude,-2.293,28,FP2,2,Related_High,s07_medsplt_dif
mean_amplitude,-1.550,29,F7,2,Related_High,s07_medsplt_dif
mean_amplitude,-3.396,30,FP1,2,Related_High,s07_medsplt_dif
mean_amplitude,4.065,1,O2,3,Unrelated_Low,s07_medsplt_dif
mean_amplitude,2.876,2,O1,3,Unrelated_Low,s07_medsplt_dif
mean_amplitude,3.562,3,OZ,3,Unrelated_Low,s07_medsplt_dif
mean_amplitude,-0.188,4,PZ,3,Unrelated_Low,s07_medsplt_dif
mean_amplitude,0.561,5,P4,3,Unrelated_Low,s07_medsplt_dif
mean_amplitude,-1.682,6,CP4,3,Unrelated_Low,s07_medsplt_dif
mean_amplitude,0.954,7,P8,3,Unrelated_Low,s07_medsplt_dif
mean_amplitude,-3.097,8,C4,3,Unrelated_Low,s07_medsplt_dif
mean_amplitude,-0.970,9,TP8,3,Unrelated_Low,s07_medsplt_dif
mean_amplitude,-2.290,10,T8,3,Unrelated_Low,s07_medsplt_dif
mean_amplitude,-0.727,11,P7,3,Unrelated_Low,s07_medsplt_dif
mean_amplitude,-0.118,12,P3,3,Unrelated_Low,s07_medsplt_dif
mean_amplitude,-2.080,13,CP3,3,Unrelated_Low,s07_medsplt_dif
mean_amplitude,-1.382,14,CPZ,3,Unrelated_Low,s07_medsplt_dif
mean_amplitude,-2.746,15,CZ,3,Unrelated_Low,s07_medsplt_dif
